model,mean,std,ci_low,ci_high,n
mlp,59.407431914594724,5.988850940397781,51.97129131129403,66.84357251789542,5
lstm,71.5803486192165,9.48108469418713,59.80802709052357,83.35267014790942,5
gru,71.81696019694009,9.332197835266982,60.22950612077395,83.40441427310623,5
cnn_lstm,71.66123297558481,9.515904843804972,59.84567652069934,83.47678943047028,5
cnn_gru,71.89271741585466,9.499198474719625,60.09790465800317,83.68753017370615,5
tft,74.92277997345653,11.608638416351498,60.508751583707685,89.33680836320536,5
