Modelo,MAE,RMSE,MSE,MAPE,R²,Tiempo,Épocas
MLP,18.95164680480957,52.95338318762669,2804.060791015625,263.3814697265625,0.2858566641807556,177.76938033103943,46
CNN-LSTM,25.384002685546875,64.67755811282225,4183.1865234375,304.1287536621094,0.14351660013198853,104.74959468841553,19
LSTM,26.650819778442383,64.72280135798357,4189.041015625,343.9653015136719,0.14231795072555542,296.39385628700256,29
GRU,24.532320022583008,64.77429638873934,4195.70947265625,260.09991455078125,0.14095258712768555,151.25338292121887,16
CNN-GRU,25.8656005859375,64.94520301401212,4217.87939453125,320.5418395996094,0.13641345500946045,175.0278639793396,31
